original_title,overview,genres,keywords,imdb_plot
Revolution,"Revolution is a new movie from internationally-acclaimed filmmaker Rob Stewart. A follow-up to his award-winning documentary Sharkwater, this continues his remarkable journey of discovery to find out that what he thought was a shark problem is actually a people problem.  As Stewart's battle to save sharks escalates, he uncovers grave dangers threatening not just sharks, but humanity. In an effort to uncover the truth and find the secret to saving our own species, Stewart embarks on a life-threatening adventure through 15 countries, over four years in the making.  In the past four years the backdrop of ocean issues has changed completely. Saving sharks will be a pointless endeavor if we are losing everything else in the ocean, not just sharks. Burning fossil fuels is releasing carbon dioxide into the atmosphere; changing the oceans, changing atmospheric chemistry and altering our climate.",Documentary,revolution climate change overpopulation environmental conservation environmental change  ,"Filmmaker Rob Stewart advances the theory that though humans depend on the natural world for subsistence, humans are nature's greatest enemy."
Zombies of the Stratosphere,"Martians come to Earth to build an H-bomb strong enough to blast Earth out of orbit so that Mars can be moved into its place in closer proximity to the sun.  Super-scientist Larry Martin, inventor of the first stratospheric-flight spaceship as well as a jet-powered personal flying suit with helmet, is called upon by the government to investigate ramped-up UFO reports occasioned by the Martians' spaceships.  The Martians, meanwhile, led by Marex, engage a renegade earth scientist and a gaggle of gangsters to help them steal supplies, operate a menacing robot, and build their bomb.  This movie serial in 12 chapters was originally planned as a sequel to ""Radar Men From The Moon"" with Commando Cody as the hero but at the last moment the main characters' names were changed and all other references to that serial removed from the script.",Science-Fiction,atomic bomb robot movie serial destruction of earth invasion from mars rocket ship battle underwater cavern rocketman flying suit ,The invaders come to Earth to create an H-bomb to blast Earth out of orbit so that Mars can take its place.
Black Gold,"On the Arabian Peninsula in the 1930s, two warring leaders come face to face. The victorious Nesib, Emir of Hobeika, lays down his peace terms to rival Amar, Sultan of Salmaah. The two men agree that neither can lay claim to the area of no man’s land between them called The Yellow Belt. In return, Nesib adopts Amar’s two boys Saleeh and Auda as a guarantee against invasion. Twelve years later, Saleeh and Auda have grown into young men. Saleeh, the warrior, itches to escape his gilded cage and return to his father’s land. Auda cares only for books and the pursuit of knowledge. One day, their adopted father Nesib is visited by an American from Texas. He tells the Emir that his land is blessed with oil and promises him riches beyond his wildest imagination. Nesib imagines a realm of infinite possibility, a kingdom with roads, schools and hospitals all paid for by the black gold beneath the barren sand. There is only one problem. The precious oil is located in the Yellow Belt.",Adventure Drama,,"Set in the 1930s Arab states at the dawn of the oil boom, the story centers on a young Arab prince torn between allegiance to his conservative father and his modern, liberal father-in-law."
A Better Way to Die,"Boomer (Wiper) is a rookie cop based in the urban hellhole that is downtown Chicago. After his involvement in a drug bust operation which results in the death of Carlos (Carmen Argenziano), his mentor and father figure, Boomer becomes disillusioned with the brutal and inhumane nature of his job. Consequently, he decides to hand in his resignation to the Chicago Police Department and return to his home town of Joliet, where his fiancé, Kelly (Natasha Henstridge), awaits.While en route back to Joliet, however, Boomer makes a grievous error in judgment when he stops for, and assists, an unfortunate motorist whose vehicle appears to have broken down; the naive ex-cop is swiftly attacked and rendered unconscious. Boomer awakes to find that his car and wallet have been stolen, and that he has become involved in a dangerous game of mistaken identity.",Action Thriller,,A Chicago cop quits the force and finds himself threatened by the Mafia.
Nan quan wang,"The narrative centres on a nomadic opera troupe who travel to various towns as part of their nationwide tour and astound the locals with their skills. When visiting a coastal town, one of the young performers becomes involved in a market brawl after two local bullies begin to push their weight around. The righteous young performer is saved from a vicious beating at the hands of the thugs by a mysterious fighter who uses his sublime abilities to save the day. He gradually reveals to his new friends that he is a former Shaolin student and a staunch patriot - readily opposing the Manchu rulers. In a finale filled with glorious fight action, the time for revenge is realised and the battle between good and evil once again takes place.",Action,martial arts shaolin acrobats ,"When henchmen of the evil ruler terrorize a traveling theater group, the fighter defeats them. This turn of events forces the evil leader to focus his energy on killing the young fighter."
Star Trek Into Darkness,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",Action Adventure Science-Fiction,spacecraft friendship sequel futuristic space alien mysterious force space opera terrorist bombing new beginning ,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
Captain America II: Death Too Soon,"A government agent is looking for a missing scientist, believing that a revolutionary leader known as Miguel (Christopher Lee Lord of the Rings) has him, and that he is using him to get his formula for something that can accelerate the aging process. He sends Steve Rogers aka Captain America (Red Brown) to find him and rescue the scientist, his only lead is a chemical that the scientist needs for his formula. As he gets closer to the truth Miguel threatens to spray the chemical on a major city unless his demands are met. But the President does not negotiate with terrorists, can Captain America save the day!?",Action Drama Science-Fiction,"portland, oregon superhero based on comic premature aging ",The star spangled hero must battle a villain's plan to poison America with a chemical that horrifically accelerates the aging process.
Bush Mama,"Bush Mama is the story of Dorothy and her husband T.C. He is a discharged Vietnam veteran who thought he would return home to a ""hero's welcome."" Instead he is falsely arrested and imprisoned for a crime he didn't commit. Her life revolves around the welfare office and a community facing poverty and unemployment. As a result of the film's events, both the main characters become radicalized and Dorothy eventually turns to violence.  Bush Mama is an American film made by Ethiopian-American director Haile Gerima, part of the L.A. Rebellion movement of political and experimental black cinema in the 1970s. It was released in 1979 though made earlier, in 1975.",Drama,l.a. rebellion ,It details the life of Dorothy who is a poor black woman. Her husband is put in jail for observable reason and she is pregnant with a second child. The government threatens to take away her welfare if she does not get an abortion.
L.A. Zombie,"the film follows an alien zombie creature as he emerges from the sea and attempts to make sense of his new home, Los Angeles. After getting picked up by a surfer in a truck, a severe accident occurs that results in the surfer lying dead in the middle of the road. The alien zombie has sex with the dead man and brings him back to life. Wandering away from the accident, he finds himself among LA’s homeless population where it becomes increasingly unclear whether he really is an alien zombie or a schizophrenic suffering from delusions. Like a kind of dark savior, the alien zombie proceeds to find various dead men in the Greater Los Angeles area and bring them back to life.",Horror,,"An extraterrestrial zombie, whose appearance constantly shifts between that of a corpse, a tusked beast with irregular genitals, and a normal man, emerges from the sea, and begins making its way to Los Angeles."
With Great Power: The Stan Lee Story,"At 89 years old, Stan Lee's name appears on more than one BILLION comics in 75 countries in 25 languages. Arguably the most recognized name in comics, Stan Lee has co-created over 500 legendary pop culture characters including Spider-Man, Fantastic Four, X-Men, Iron Man, Thor and The Hulk. Stan continues to create new material and entertain fans of all ages with fantastic stories and characters in all areas of entertainment.  With Great Power: the Stan Lee Story, explores the vivid life and imagination of Stan Lee, from the early days of his Depression-era upbringing through the Marvel Age of Comics and beyond! The film uncovers original transcripts, illustrations, photographs and stories of Lee's fascinating journey from his early years at Timely Comics and World War Two, the comic book industry's censorship battle of the 1950's led by Dr. Fredric Wertham, the dawn of Marvel Comics and the legendary characters Stan co-created, to his current company POW! Entertainment.",Documentary,based on comic fantastic four marvel comics ,The life and career of the comic book writer and editor.
La pivellina,"Abandoned in a park, the two-year-old girl Asia is found by Patty, a circus woman living with her husband Walter in a trailer park in San Basilio on the outskirts of Rome. With the help of Tairo, a teenager who lives with his grandma in an adjacent container, Patti gives the girl a new home for an uncertain period of time. However, Walter is concerned that they may be accused of kidnapping the girl, and he plans to report Asia's presence to the police. .  Patty receives a letter from the mother in which she announces that she will collect the girl two days later. They have a farewell party, but the mother does not show up.",Drama,woman director ,"A circus woman and her husband find a two year old girl in the trailer park where they are living. With the help of another child, they search for her mother."
After Earth,"One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",Science-Fiction Action Adventure,dystopia ,"A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help."
Attack on the Iron Coast,"Attack on the Iron Coast is a 1967 British-American Oakmont Productions international co-production war film directed by Paul Wendkos in the first of his five picture contract with Mirisch Productions, and starring Lloyd Bridges, Andrew Keir, Sue Lloyd, Mark Eden and Maurice Denham. The film depicts an account of Allied Combined Operations Headquarters commandos executing a daring raid on the German-occupied French coast during the Second World War. The film is based on the commando raid on the French port of St. Nazaire and is reminiscent of the film The Gift Horse. In the United States it was released as a double feature with Danger Route.",Action War,world war ii ,"During World War II, a commando leader named Major Jamie Wilson leads a group of soldiers on a suicide mission to destroy a Nazi naval stronghold on the French coast."
The Era of Vampires,"In 17th century China, zombies and vampires roamed the lands, feeding on the unsuspecting. A group of martial artists / vampire hunters find themselves employed by a very rich - and very insane - old man who has kept everyone of his relatives preserved in wax and not buried. Apparently it is his family's tradition. So, having generations of potential zombies in your cellar may not be the smartest idea ever, but it takes two to tango. In this case, a thief wants the old-man's treasure and hires a zombie-wrangler to re-animate the waxed up relatives in order to sneak into the mansion and steal the treasure. It's up to the kung-fu fighting vampire hunters to save the day (or night).",Horror Action,,"In 19th century China, an evil monk awakens a nest of vampires hell-bent on devouring human life. Now, a quartet of heroes and their master must use their unique powers to destroy the Vampire King and its lethal coven before it's too late."
Mary and Martha,"Wealthy American housewife Mary Morgan takes her bullied son George out of school for home education,including a trip to Southern Africa. Whilst in Mozambique George is bitten by a mosquito which crawls through a hole in his net and dies of malaria. After his funeral at home Mary feels a compulsion to return to Africa where she meets English woman Martha O'Connell,whose 24 year old son Ben, a teacher with voluntary service overseas,has also died of malaria. Ben gave his net to one of his pupils,believing adults cannot catch malaria. The two women are shocked to see the high death rate caused by the disease and,whilst Martha stays in Africa as a voluntary helper,Mary petitions the American government to change things. Martha turns up at Mary's house unannounced and,helped by Mary's ex-diplomat father,they address a senate committee on health spending,persuading them to do more to combat malaria. They meet with some success though a coda states that much more can be done.",Drama,parent child relationship malaria ,Two mothers lose their sons to malaria.
Vasermil,"Vasermil tells the story of three teenagers who live in the same tough neighborhood, growing up in an unforgiving environment, pinning their hopes on football as a way out. Shlomi lives with his widowed mother, little sister, and step-father and works as a pizza delivery boy. Adiel, of Ethiopian descent, has to look after his young brother and sick mother. Dima, a new immigrant from Russia, has a father who is unemployed and a mother who works as a cleaning lady. The three teens are recruited by the coach of the local football team. Learning to work together as a team is the key to success in the tournament and success in the tournament means getting noticed by the scouts of the local football empire. In order to win the tournament they will have to play as a team, overcome their differences, get over their sense of inferiority and prejudice.",Drama,,"The film is named after the local football stadium located in the town of Be'er Sheva in southern Israel. Vasermil tells the story of three teenagers who live in the same tough neighborhood, growing up in an unforgiving environment, pinning their hopes on football as a way out. S... Read all"
Come Out and Play,"Beth (Vinessa Shaw) and Francis (Ebon Moss-Bachrach), a young married couple, are on holiday together when they venture to a beautiful, but highly remote, island. Beth is pregnant and the two are hoping to enjoy their last vacation before their baby is born. When they arrive, they notice that while there are plenty of children present, the adults all seem to be missing. Initially attributing this to the after effects of a recent festival, they quickly realize something far more sinister is afoot. The two will face terror and unsettling difficult decisions in their quest to make it off the island alive.",Horror,remake gore street children evil child killer children mexican island ,"A couple take a vacation to a remote island - their last holiday together before they become parents. Soon after their arrival, they notice that no adults seem to be present - an observation that quickly presents a nightmarish reality."
Pyaar Ka Punchnama,"Outspoken and overly critical Nishant Agarwal meets gorgeous new co-worker, Charu, offers his help, assists her financially, and they become close friends. His room-mates, Rajat and Vikrant, are pleased with this outcome as they already have girlfriends in Neha and Rhea respectively. But both the relationships are not as harmonious, as Rajat feels Neha is self-centered and demanding, while Rhea appears to be withdrawn and aloof. Missing their meetings and bar-hopping, the trio decide to take a time-out and be by themselves. All three women, however, find out and decide to accompany them to the beach where they eventually mingle. The trio do not know that soon misunderstandings will crop up - and it will take a lot of effort and understanding to resolve them.",Drama Comedy Romance Foreign,,Nishant starts dating Charu while his roommates Rajat and Vikrant already have girlfriends in Neha and Rhea respectively. Trouble starts when the guys feel that their girlfriends are dominating them.
"London, Paris, New York","London Paris New York is a film that captures the angst of the twenties, the most dramatic period of one's life - when you have to find a career, you have your first significant relationship and most importantly form your identity in this world. This is story about Lalitha, a middle class south Indian girl from Chembur (an eastern suburb in Mumbai) who is on her way to New York to study politics with full scholarship, and Nikhil, a Punjabi, rich kid from Bandra (a posh western suburb of Mumbai) who is going to study Film Making in London on 100% dad's money. They decide to hangout together one evening in London and find that they are completely drawn to each other even as their future lies on separate continents.  The film follows their personal journey and their love story as they meet in London, Paris and New York for a night each over eight years. The film is in three chapters and each chapter is shot in a manner that mirrors the mental state of Nikhil and Lalitha.",Romance,woman director ,"Nikhil and Lalitha are two completely different individuals who are drawn to each other in spite of their differences -- or perhaps because of it. Follow their journey as they meet in London, Paris and New York for a night in each city."
God Bless Ozzy Osbourne,"Ozzy Osbourne's four decade track record as a culturally relevant artist is unprecedented, but his personal struggles have been shrouded in secrecy, until now. Featuring never before seen footage uncovered from the archives and interviews with Paul McCartney, Tommy Lee and others, God Bless Ozzy Osbourne is the first documentary to take viewers inside the complex mind of rock's great icon. Emerging from a working class family in war torn England, Osbourne and his neighborhood friends formed Black Sabbath and invented heavy metal. Plagued by self doubt, Osbourne the solo superstar went on a binge that lasted 40 years. God Bless Ozzy Osbourne will relive the highs of his triumphs as well as his journey to sobriety, which Ozzy regards as his greatest accomplishment.",Documentary Music,concert live music documentary ,"Ozzy Osbourne's four decade track record as a culturally relevant artist is unprecedented, but his personal struggles have been shrouded in secrecy, until now. Featuring never before seen footage uncovered from the archives and interviews with Paul McCartney, Tommy Lee and others... Read all"
Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",Action Science-Fiction Adventure,monster dystopia pacific alaska giant robot giant monster apocalypse hong kong robot alien invasion kaiju duringcreditsstinger monster movie ,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
Elysium,"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.",Science-Fiction Action Drama Thriller,future dystopia space station class conflict ,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
Unconditional,"Samantha Crawford is living a storybook life: she’s happily married, she lives on a ranch where she keeps her beloved horse, and the stories she’s told and illustrated since childhood have become published books. When her husband Billy is killed in a senseless act of violence, Sam loses her faith and her will to live. But a death-defying encounter with two children leads to a reunion with Joe, her oldest friend. As Sam watches “Papa” Joe care for and love the kids in his under-resourced neighborhood, she begins to realize that no matter life’s circumstances, the love of God is always reaching out to us.",Drama,forgiveness inner city youth ,"A woman's idyllic life is shattered when her husband is killed in a senseless act of violence. As she prepares to take matters into her own hands, two unexpected encounters begin to change everything."
Sign 'o' the Times,"In front of a crowd at the Rotterdam Music Hall, Prince and his band perform 13 numbers, 11 of which are from his double album, ""Sign 'o' the Times,"" and all but ""Now's the Time"" are his compositions. This is high energy stuff, with neon signs flashing above the stage, suggesting the honky-tonk district of a big city. Between a few of the numbers, there are vignettes of street life. Three women - Shiela E, Boni Boyer, and Cat - provide rhythmic, vocal, and physical pyrotechnics. Sheena Easton appears in a film within a film, her rock video ""U Got the Look."" In constant motion, never far from center stage, is Prince, Minnesota's charismatic pixy.",Music,concert film ,"Highlights from Prince's 1987 European concert tour, including selections from the rock star's album of the same title."
Liz & Dick,"On the set of Cleopatra, Hollywood's most beautiful star, Elizabeth Taylor, fell into the arms of one of the world's greatest actors, Richard Burton - and she didn't leave. Their subsequent white-hot, scandalous love affair gave rise to the paparazzi and they became the most hunted and photographed couple on earth. Their rocky, passionate, relationship, born in front of the cameras, was subsequently captured in a series of films, including The V.I.P.s and Who's Afraid of Virginia Woolf? The last of the great, extravagant stars, flaunting diamonds, yachts and private planes, they continually seized the headlines. They even divorced and married again - only to divorce again - but remain in each other's hearts. This Elizabeth Taylor - Richard Burton story is a no-holds barred account of their undying, but impossible love.",Drama,paparazzi scandal biography celebrity based on a true story romance hollywood love affair tabloid hollywood star movie actor movie industry movie actress ,The torrid relationship between Elizabeth Taylor and Richard Burton.
Life Without Dick,"By accident, Colleen Gibson shoots and kills her gold-digging cheating boyfriend, Dick, a private eye who happens to have a hitman on his tail. Danny the hitman works for his brother-in-law, a cheerful but nasty Irish mobster, hasn't actually killed anyone, and wants to be a singer. He falls for Colleen. she likes him, too. He can solve her problem (Dick's body), she can solve his (meeting the mobster's demands that he kill people like Dick). Danny has an ex-girlfriend, who might still hold the key to his heart, two cops are sniffing around for Dick, a junk yard owner gets a conscience, and a talent show is coming up. Bullets, music, and true love are set to collide.",Action Comedy Romance,,"When fortuneteller convinces Colleen that her boyfriend, Dick, is cheating on her, she decides to put a stop to it. After Colleen accidentally kills Dick, mafia hit-man Daniel offers to take credit for the murder."
"Ah, Wilderness!","Young idealist Richard Miller is selected as valedictorian for his New England high school commencement class of 1906 and intends to inject modern anti-capitalistic ideas into his speech. His father, Nat Miller, accidentally learns of it and interrupts Richard's speech before he can make a fool of himself. The small town later celebrates the Fourth of July with customary fireworks, picnics and the like, with Richard spending time with his girl, Muriel McComber, who promises she will allow him to kiss her one day. When Richard sends poems of love to Muriel, quoting the likes of Omar Khayyám and Swinburne, her father prevents her from ever seeing him again and forces her to write a letter denouncing him.",Comedy Drama,small town fireworks big family father high school uncle based on play or musical new england young man valedictorian early 1900s ,"Story of small-town life in turn-of-the-century America, and a young boy's problems facing adolescence."
Woody Allen: A Documentary,"Iconic writer, director, actor, comedian and musician Woody Allen allowed his life and creative process to be documented on-camera for the first time. With this unprecedented access, Emmy-winning, Oscar-nominated filmmaker Robert B. Weide followed the notoriously private film legend over a year and a half to create the ultimate film biography. ""Woody Allen: A Documentary"" chronicles Allen's career - from teen writer to Sid Caesar's TV scribe, from stand-up comedian to award-winning writer-director averaging one film-per-year for more than 40 years. Exploring Allen's writing habits, casting, directing, and relationship with his actors first-hand, new interviews with A-listers, writing partners, family and friends provide insight and backstory to the usually inscrutable filmmaker.",Documentary,new york city interview biography tribute writer director ex-wife actor ,A documentary on Woody Allen that trails him on his movie sets and follows him back to Brooklyn as he visits his childhood haunts.
The Ice House,"The peaceful, secluded, country hideaway of three diverse, lonely, supposedly lesbian, women is suddenly shattered when their gardener discovers a partially decomposed corpse in the old Ice House on their grounds. The ensuing police investigation has the unfortunate repercussion of re-igniting the anger and hatred of the local community levelled against the women which started ten years previously when the husband of one of them mysteriously disappeared without trace. The same senior police officer from ten years ago is assigned the case and is determined to bring the women to justice this time around. The case is further complicated when his deputy, whose marriage is on the rocks, starts to take more than a professional interest in one of the women. What is the identity of the corpse in the Ice House? What really did happen ten years previously? Will all be revealed...",Drama Mystery Thriller,,"The peaceful, secluded, country hideaway of three diverse, lonely, supposedly lesbian, women is suddenly shattered when their gardener discovers a partially decomposed corpse in the old Ice House on their grounds. The ensuing police investigation has the unfortunate repercussion ... Read all"
How to Live Forever,"Director Mark Wexler embarks on a worldwide trek to investigate just what it means to grow old and what it could mean to really live forever. But whose advice should he take? Does 94-year-old exercise guru Jack LaLanne have all the answers, or does Buster, a 101-year-old chain-smoking, beer-drinking marathoner? What about futurist Ray Kurzweil, a laughter yoga expert, or an elder porn star? Wexler explores the viewpoints of delightfully unusual characters alongside those of health, fitness and life-extension experts in this engaging new documentary, which challenges our notions of youth and aging with comic poignancy. Begun as a study in life-extension, How To Live Forever evolves into a thought-provoking examination of what truly gives life meaning.",Documentary,health aging life extension multiculturalism forever centenarian ,Baby boomer Mark Wexler travels the world searching for the secrets of long life.
Making a Killing: The Untold Story of Psychotropic Drugging,"Psychotropic drugs. It’s the story of big money-drugs that fuel a $330 billion psychiatric industry, without a single cure. The cost in human terms is even greater-these drugs now kill an estimated 42,000 people every year. And the death count keeps rising. Containing more than 175 interviews with lawyers, mental health experts, the families of victims and the survivors themselves, this riveting documentary rips the mask off psychotropic drugging and exposes a brutal but well-entrenched money-making machine. Before these drugs were introduced in the market, people who had these conditions would not have been given any drugs at all. So it is the branding of a disease and it is the branding of a drug for a treatment of a disease that did not exist before the industry made the disease.",Documentary,medicine psychology pharmaceutical industry pharmacology drug use mental illness health and safety ,
Pax Americana and the Weaponization of Space,"Star Wars is no longer science fiction  The prospect of Earth being ruled from space is no longer science-fiction. The dream of the original Dr. Strangelove, Wernher von Braun (from Nazi rocket-scientist to NASA director) has survived every US administration since WW2 and is coming to life. Today the technology exists to weaponize space, a massive American industry thrives, and nations are maneuvering for advantage.  PAX AMERICANA tackles this pivotal moment. Are war machines already orbiting Earth? Can treaties keep space weapons-free? Must the World capitulate to one super-cop on the global beat?  With startling archival footage and unprecedented access to US Air Force Space Command, this elegant, forceful documentary reveals the state of play through generals, space-policy analysts, politicians, diplomats, peace activists, and hawks.",Documentary,,"When a war starts in space, can anyone really win?"
Nuodemes uzkalbejimas,"A nearly-suicidal, young woman visits a psychotherapist. She is in love with a priest, and the diagnosis of her husband's mental illness leaves no hope. The psychotherapist, in her attempts to resolve the amassed difficulties, seemingly begins to duplicate the life stages and behavioral patterns of her patient. A script for this film is based on motifs from the best-seller, scandalous novel, Witch and Rain, by female author, Jurga Ivanauskaite. By choosing a priest as the main role for a love story, the author broke an existing societal taboo. Faith, Love and Hope form the trilogy by the authors of this screenplay. Love stands as the grandest of the three.",Drama,,"Vika, a nearly-suicidal, young woman visits a psychotherapist. She is in love with Paulius, a priest, and the diagnosis of mental illness of her husband, Go leaves no hope. The psychotherapist, in her attempts to resolve the amassed difficulties, seemingly begins to duplicate the... Read all"
Consuming Kids: The Commercialization of Childhood,"Consuming Kids throws desperately needed light on the practices of a relentless multi-billion dollar marketing machine that now sells kids and their parents everything from junk food and violent video games to bogus educational products and the family car. Drawing on the insights of health care professionals, children's advocates, and industry insiders, the film focuses on the explosive growth of child marketing in the wake of deregulation, showing how youth marketers have used the latest advances in psychology, anthropology, and neuroscience to transform American children into one of the most powerful and profitable consumer demographics in the world. Consuming Kids pushes back against the wholesale commercialization of childhood, raising urgent questions about the ethics of children's marketing and its impact on the health and well-being of kids.",Documentary,,Consuming Kids throws desperately needed light on the practices of a relentless multi-billion dollar marketing machine that now sells kids and their parents everything from junk food and violent video games to bogus educational products and the family car. Drawing on the insights... Read all
Iran Is Not the Problem,"A response to the failure of the American mass media to provide the public with relevant and accurate information about the standoff between the US and Iran, as happened before with the lead up to the invasion of Iraq. We have heard that Iran is a nuclear menace in defiance of the international community, bent on ""wiping Israel off the map"", supporting terrorism, and unwilling to negotiate. This documentary disputes these claims as they are presented to us and puts them in the context of present and historical US imperialism and hypocrisy with respect to Iran. It looks at the struggle for democracy inside Iran, the consequences of the current escalation and the potential US and/or Israeli attack, and suggests some alternatives to consider.",Documentary War,,"A response to the failure of the American mass media to provide the public with relevant and accurate information about the standoff between the US and Iran, as happened before with the lead up to the invasion of Iraq. We have heard that Iran is a nuclear menace in defiance of th... Read all"
Off the Menu: The Last Days of Chasen's,"In 1995, Chasen's closed its doors after 60 years of serving chili to movie stars and visiting dignitaries, Presidents and the Pope. During its two final weeks, Chasen regulars (actors and producers), staff, and management sat for interviews. There's an Oscar party for 1500, footage and photos of famous diners, and time with Tommy Gallagher, the ebullient head waiter until retirement in 1994, his son Patrick, catering head Raymond Bilbool, general manager Ronnie Clint, hat check girl Val Schwab, ladies' room attendant Onetta Johnson, and foreign- born waiters, including Jaime. When he started in 1970, like other Latins, he wasn't allowed out of the kitchen. It's a family farewell.",Documentary,movie business restaurant woman director hollywood history ,"In 1995, Chasen's closed its doors after 60 years of serving chili to movie stars and visiting dignitaries, Presidents and the Pope. During its two final weeks, Chasen regulars (actors and producers), staff, and management sat for interviews. There's an Oscar party for 1500, foot... Read all"
Arena,"An intergalactic fighting competition between champions of various worlds has traditionally been won by a species much larger and stronger than humans. Entering the contest, a human finds he has to battle against not just his opponents and his self-doubts, but the corrupt system. Far in the future, on a distant space station, the legendary Arena is where the best fighters from every planet come to vie for the championship. But for over half a century, no Earthling has been good enough to be a contender. Until out of nowhere, comes an underdog: the great human hope, Steve Armstrong... and the best anyone's ever seen. He's been training all his life for a shot at the big time, but now he's up against some mighty big muscle: a ruthless extra-terrestrial crimelord who'll pull no punches to make sure he stops Steve dead. In the mood for hard-hitting sci-fi action? Arena will knock you out!",Horror Science-Fiction,fight futuristic space alien ,A human becomes an unlikely rising star in the biggest fighting tournament in the galaxy that's dominated by alien species.
The Smurfs 2,"The evil wizard Gargamel creates a couple of mischievous Smurf-like creatures called the Naughties that he hopes will let him harness the all-powerful, magical Smurf-essence. But when he discovers that only a real Smurf can give him what he wants, and only a secret spell that Smurfette knows can turn the Naughties into real Smurfs, Gargamel kidnaps Smurfette and brings her to Paris, where he has been winning the adoration of millions as the world¹s greatest sorcerer. It's up to Papa, Clumsy, Grouchy, and Vanity to return to our world, reunite with their human friends Patrick and Grace Winslow, and rescue her! Will Smurfette, who has always felt different from the other Smurfs, find a new connection with the Naughties Vexy and Hackus or will the Smurfs convince her that their love for her is True Blue?",Fantasy Family Comedy Animation,based on cartoon ,"The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs."
Class of 1999,"The time is in the future and the youth gang violence is so high that the areas around some schools have become ""free-fire zones"", into which not even the police will venture. When Miles Langford, the head of Kennedy High School, decides to take his school back from the gangs, robotics specialist Dr. Robert Forrest provides ""tactical education units"". These are amazingly human-like androids that have been programmed to teach and are supplied with devastatingly effective solutions to discipline problems. So when he violent, out-of-control students of Kennedy High report for class tomorrow, they're going to get a real education... in staying alive!",Science-Fiction Thriller,"cyborg killer robot future dystopia violence in schools murder teacher school b movie cyberpunk los angeles, california robot juvenile delinquent drugs gang warfare parolee ","Three ex-military robots are reprogrammed as teachers and secretly placed in a school where most students are part of organized gangs. They begin to respond violently to unruly students, and their military training starts to take over."
Kickboxer 4: The Agresor,"Sasha Mitchell (""Kickboxer 2&amp;3"") triumphanty returns to the ring as David Sloan, fighting not just for his survival, but for his beautiful wife, who has become the sexual captive of the despicable world champion, Tong Po. Framed, forgotten and furious, Sloan has been wasting away in prison, but the Feds agree to release him, if he will lead them inside Tong Po's impenetrable Mexican fortress, protected by its deadly guards and adorned by its sexual slaves. Sloan reluctantly teams up with a female fighter to gain entry into Po's tournament of champions, a savage battle where winner takes all - and to Sloan - that means everything!",Drama Action Thriller Romance,rape martial arts showdown fight sports revenge action hero ,David Sloan must travel to Mexico to save his wife from a savage drug lord who's also an old nemesis.
